ID,Posted at,Screen name,Text
814645336010555394,2016-12-30 01:32:38 +0000,WhiteHouse,"Take a look inside the White House Residence, the First Family’s home for the last eight years: https://t.co/USm7ywLevu"
814630060107976704,2016-12-30 00:31:56 +0000,WhiteHouse,"""This is a place of history...a place that belongs to the people"" —@POTUS shares a look inside the WH Residence https://t.co/USm7ywLevu"
814623562065657856,2016-12-30 00:06:06 +0000,WhiteHouse,What you need to know about the U.S. response to Russia: https://t.co/Sj71a1MYuh
814613097554083840,2016-12-29 23:24:31 +0000,WhiteHouse,"This week, @POTUS designated two new national monuments—protecting over a million acres in Utah and Nevada:… https://t.co/oE9VfSSCaR"
814591032230838273,2016-12-29 21:56:51 +0000,WhiteHouse,RT @letsmove: Remember when @FLOTUS shared her workout routine? Watch more of our top #LetsMove moments from over the years:… https://t.co/lwibyHzXOM
814568269864718336,2016-12-29 20:26:24 +0000,WhiteHouse,"RT @DHSgov: Joint DHS, ODNI, FBI Statement on Russian Malicious Cyber Activity → https://t.co/KKaEVcE0Fa https://t.co/QRj7KgbnRQ"
814563473938071552,2016-12-29 20:07:20 +0000,WhiteHouse,RT @StateDept: Statement by @toner_mark on @StateDept actions in response to Russian harrassment: https://t.co/ZSdy0XlX88
814560633106681856,2016-12-29 19:56:03 +0000,WhiteHouse,"RT @USTreasury: Today, Treasury sanctions two individuals for malicious cyber-enabled activities. https://t.co/c4LKHoEhwZ https://t.co/0M24mshs0f"
814552803079233536,2016-12-29 19:24:56 +0000,WhiteHouse,Read the statement by @POTUS on U.S. actions in response to Russian malicious cyber activity and harassment:… https://t.co/Vn4IPTMCpx
814529215114649601,2016-12-29 17:51:12 +0000,WhiteHouse,RT @SecretaryJewell: Natl Monuments = good economic sense: Heard 1st hand from local biz near Organ Mtns Desert Peaks NM in #NewMexico!SJ https://t.co/9WgTOOMCbu
814520999202983936,2016-12-29 17:18:33 +0000,WhiteHouse,"RT @NASA: What happened this year at NASA? We progressed on sending humans on a #JourneyToMars, plus much more! Watch here:… https://t.co/A2Pwb3dzyQ"
814516928819720198,2016-12-29 17:02:23 +0000,WhiteHouse,RT @WhiteHouseCEQ: The new Gold Butte National Monument will protect dinosaur tracks dating back hundreds of millions of years https://t.co/RZ80YG4xcX
814513572067872769,2016-12-29 16:49:03 +0000,WhiteHouse,"""Here at Pearl Harbor, America’s first battle of the Second World War roused a nation."" —@POTUS https://t.co/FtipnKxkgx"
814277462469316609,2016-12-29 01:10:50 +0000,WhiteHouse,"""The petition response heard around the galaxy."" How a petition on a Death Star helped lift up real-life science:… https://t.co/Piu7SRzYPA"
814261644549386241,2016-12-29 00:07:58 +0000,WhiteHouse,"~20K signatures a day ✓
40M signatures total ✓
29M users ✓
 
A look back at @WeThePeople: https://t.co/HqzpajYu4i https://t.co/u6JUdM967E"
814250832497700864,2016-12-28 23:25:01 +0000,WhiteHouse,Gold Butte & Bears Ears National Monuments protect some of our nation’s most precious natural & cultural resources:… https://t.co/yVrkcbOa0U
814247923353612293,2016-12-28 23:13:27 +0000,WhiteHouse,"""Today’s actions will help protect this cultural legacy"" —@POTUS on designating two new national monuments:… https://t.co/ivJZjBsKxW"
814239397466009600,2016-12-28 22:39:34 +0000,WhiteHouse,"RT @SecretaryJewell: Thanks @POTUS for protecting Bears Ears & Gold Butte – lands sacred to tribes & important to U.S. natural, cultural… https://t.co/9zXNcxXz4D"
814236704680898560,2016-12-28 22:28:52 +0000,WhiteHouse,"RT @Interior: 2 new national monuments protect gorgeous landscapes, important cultural sites & wildlife habitat for future gens:… https://t.co/mQbXdwRFNy"
814235577721688068,2016-12-28 22:24:24 +0000,WhiteHouse,.@POTUS has protected more land & water than any other president in history. Today's actions build on that progress… https://t.co/NKv9eM1AUY
814232328964866048,2016-12-28 22:11:29 +0000,WhiteHouse,BREAKING: @POTUS designates two new national monuments—protecting over a million acres in Utah and Nevada:… https://t.co/PIP73xBsWT
